Rank,Team,Player,Fantsy Position,ADP,Bye,Age,1yr. Proj,3yr. Proj,5yr. Proj,10yr. Proj,DS Analysis,3D Value +
128,MIA,Tyrel Dodson,LB,N/A,12,27.8,123,254,393,627,"",14.2
129,RK,Jadarian Price,RB,9.07,18,22.4,133.80,345.00,564.00,866.00,"Price is a straightforward power runner who has a third gear for long TDs. He ran for 674 yards and 11 TDs this year while playing behind teammate Jeremiyah Love. Price's agility and ability to work through contact could make him an NFL starter. Price may be a better receiver than his numbers indicate, too.",14.00
130,CHI,Devin Bush,LB,N/A,5,27.7,127,250,387,617,"",14
131,CAR,Trevin Wallace,LB,N/A,14,23.1,91,242,400,749,"",14
132,DET,Jake Bates,K,462.04,8,27,151,366,613,1169,"",13.7
133,BUF,Cole Bishop,DB,N/A,7,23.4,89,242,399,746,"",13.4
134,TB,Tykee Smith,DB,N/A,9,25.1,111,242,389,671,"",13.2
135,DET,Brian Branch,DB,N/A,8,24.4,102,241,393,701,"",13.2
136,GB,Matthew Golden,WR,11.04,5,22.7,117.90,402.00,670.00,1286.00,"Golden had a disappointing rookie season as a first-round WR, finishing 2025 as WR113 in PPR points per game (5.0). Golden couldn't really crack a deep WR group but will get another opportunity in 2026, especially with Romeo Doubs in New England. The second-year pro turns just 23 before next season.",13.10
137,GB,Jayden Reed,WR,12.03,5,25.9,153.20,418.00,661.00,1126.00,"Reed only played seven games in 2025 due to multiple injuries, so he never broke out for a deep WR group. When active, he tallied only two top-36 fantasy finishes. 2026 turns up a contract season -- and a thinned-out WR corps following the departure of Romeo Doubs.",13.10
138,NE,Romeo Doubs,WR,11.12,14,25.9,157.90,401.00,647.00,1179.00,"Doubs continued his high snap counts as a starter in 2025, but the depth of the Packers' pass catchers limited the ceiling. Doubs posted 55-724-6, enough to make him a spot-start WR3/Flex. New England paid up for him in free agency: a 4-year deal with $39 million in total guarantees. He should be the target leader for Drake Maye in 2026.",12.90
139,BAL,Kyle Hamilton,DB,N/A,7,25,109,238,382,656,"",12.6
140,KC,Chamarri Conner,DB,N/A,10,25.7,123,235,373,618,"",12.4
141,ATL,Michael Penix Jr.,QB,13.05,5,25.8,200.00,679.00,1108.00,2085.00,"Penix dealt with four season-ending injuries during his time at Indiana (two shoulder injuries and two ACL tears). Healthy at Washington over his final two college seasons, Penix displayed effortless arm strength and excellent decision-making. As a rookie, he displayed a downfield, attacking style in a brief late-season sample. But his 2025 ended with a mid-season ACL tear. While Penix may remain Atlanta's starter in 2026, he's yet to establish himself as the long-term answer.",12.30
142,RK,Arvell Reese,LB,N/A,18,20.6,75,221,376,784,"",12.2
143,TEN,Wan'Dale Robinson,WR,9.02,10,25.2,151.80,399.00,641.00,1165.00,"Robinson excelled after Malik Nabers' season ended early in 2025. Robinson finished WR17 in PPR points per game and had his second straight season with 140 targets. He signed with Tennessee in free agency, reuniting him with former HC Brian Daboll (now the Titans' OC). Don't expect 140 targets, but volume shouldn't be an issue in a wide-open Tennessee WR corps.",12.20
144,LAR,Nathan Landman,LB,N/A,8,27.3,101,241,377,621,"",12.1
145,HOU,Will Anderson Jr.,DL,N/A,6,24.6,89,229,385,631,"",12.1
146,HOU,Ka'imi Fairbairn,K,305.01,6,32.2,155,368,591,1066,"",11.9
147,LAC,Quentin Johnston,WR,11.02,12,24.5,164.10,384.00,629.00,1177.00,"Johnston proved 2024 wasn't a fluke. He matched his eight TDs and set career-best marks in receiving yards (735) and PPR points per game (12.4). He did so despite ranking just 41st league-wide in target share (19%). We'll see how he fits in new OC Mike McDaniels' offense, but there's room for an expanded role with Keenan Allen likely moving on. ",11.90
148,BUF,Khalil Shakir,WR,13.02,7,26.1,137.90,396.00,640.00,1165.00,"Shakir ended last season as WR35 in PPR, with the Bills' inconsistent passing attack hurting his overall output. He's signed through 2029 and should be locked into the slot role moving forward. The issue is that his ceiling took a hit this offseason with the arrival of D.J. Moore. Based on his contract, the former Bear is likely to stick in Buffalo for at least two seasons.",11.50
149,JAC,Jakobi Meyers,WR,11.07,8,29.3,163.20,427.00,648.00,979.00,"Meyers moved from the Raiders to the Jaguars at the 2025 trade deadline, and he instantly excelled in HC Liam Coen's offense. Meyers' success led to the team signing him to a 3-year, $60 million contract extension. We'll see how the team deploys Travis Hunter, but Meyers' deal and production say he's a strong contender to lead this unit in 2026.",11.40
150,RK,Ty Simpson,QB,10.12,18,23.3,202.70,636.00,1080.00,2136.00,"Simpson flashed elite ball placement and mechanics at Alabama, but heading into the NFL Draft with only 15 starts is concerning. He threw for 3,567 yards with 28 TDs and 5 INTs this past season. Simpson has a good pocket presence and scrambling abilities, but his lack of experience shows in holding onto the ball too long. He could go in the first round or fall to Day 2, making him a risky bet.",11.30
151,DAL,DeMarvion Overshown,LB,N/A,10,25.6,121,224,354,603,"",11.3
152,TB,Chris Godwin,WR,12.08,9,30.1,151.60,416.00,644.00,1047.00,"Godwin suffered a dislocated ankle that cost him most of the 2024 season. He returned a few weeks into the 2025 season but finished WR54 in PPR points per game. Godwin, now 30, should have a larger role in 2026 with Mike Evans in San Francisco. ",11.30
153,JAC,Bhayshul Tuten,RB,8.11,8,24.1,159.10,311.00,482.00,834.00,"Tuten carried the Virginia Tech offense for two years after transferring from North Carolina A&T. He showed excellent speed and vision while adding return value. He posted elite numbers at the NFL Combine as the fastest RB in the 40-yard dash, running a 4.32. He also had the best Vertical (40.5""). We saw his burst appear as a rookie, although he never overtook Travis Etienne as the lead back. There's a chance for a larger role in 2026 with Etienne in New Orleans, but the Jags may opt for a committee with Chris Rodriguez and LeQuint Allen.",11.00
154,LAC,Cameron Dicker,K,63.08,12,25.8,160,336,570,1136,"",11
155,BUF,Terrel Bernard,LB,N/A,7,26.8,116,228,356,587,"",11
156,ARI,Michael Wilson,WR,8.07,8,26.1,147.40,404.00,641.00,1092.00,"Wilson had a marvelous late-season surge when Marvin Harrison Jr. went down and Jacoby Brissett started at QB. He ended 2025 at WR10 in PPR, going 78-1006-7. We're not doubting the talent here. But the issue is the outlook for Wilson when this offense is healthy. He's also entering a contract season.",11.00
157,RK,Anthony Hill Jr.,LB,N/A,18,21.1,70,216,372,750,"",10.9
158,LAC,Oronde Gadsden II,TE,8.01,12,22.8,123.40,321.00,590.00,1148.00,"Gadsden flashed elite fantasy potential early in the season, but it ended with a whimper. Overall, his 47-641-3 stat line is solid for a Round 5 pick who wasn't even active until late September. Los Angeles added TE Charlie Kolar in free agency, but he's expected to be a main contributor in the run game.",10.80
159,CIN,Barrett Carter,LB,N/A,10,23.4,104,214,355,664,"",10.7
160,RK,David Bailey,LB,N/A,18,22.6,92,216,363,690,"",10.7
161,CHI,D'Andre Swift,RB,9.03,5,27.2,205.20,355.00,437.00,599.00,"Swift's 2023 in Philly proved inconsistent, but he ultimately set career highs in touches and yardage. Chicago provided a fine free agent spot for volume, but a poorly orchestrated offense and a weak O-line limited the fantasy impact. The offensive infrastructure changed alongside new HC Ben Johnson in 2025. As a result, Swift rebounded to finish as the PPR RB14, despite the emergence of Kyle Monangai. The veteran is under contract for one more season.",10.60
162,DET,Aidan Hutchinson,DL,N/A,8,25.6,94,218,359,547,"",10.6
163,BAL,Roquan Smith,LB,N/A,7,28.9,124,232,353,535,"",10.5
164,TB,Jalen McMillan,WR,13.06,9,24.3,128.20,380.00,648.00,1180.00,"McMillan missed most of 2025 with a neck injury, but he returned late to post 7-114-0 against the Dolphins. His short-term outlook improved significantly after Mike Evans signed a multi-year deal in San Francisco.",10.50
165,MIN,Blake Cashman,LB,N/A,6,29.8,138,229,342,507,"",10.3
166,JAC,Parker Washington,WR,10.02,8,24,159.30,367.00,627.00,1140.00,"Washington was successful when injuries hit the Jaguars' WR corps. Including the postseason, he ended 2025 with four straight games of 9+ targets and 87+ yards. He'd benefit from the Jags making Travis Hunter anything close to a full-time DB. Still, there's starting-caliber talent in the WR room with Jakobi Meyers and Brian Thomas Jr. The Jags signed Meyers to an extension through the 2028 season.",10.30
167,MIN,J.J. McCarthy,QB,13.07,6,23.2,32.10,688.00,1150.00,2243.00,"McCarthy wasn’t asked to carry a Michigan squad led by a strong defense and run game. Still, the two-year starter flashed a power arm and the ability to execute pro-style concepts under HC Jim Harbaugh. 2024 was a developmental year on IR, while the 22-year-old performed as a below-average starter in a limited '25 sample. There's a real chance he's not starting in 2026.",10.20
168,NYG,Brian Burns,DL,N/A,14,27.9,94,234,335,469,"",10.1
169,LAC,Tre Harris,WR,14.09,12,24.1,106.80,393.00,650.00,1165.00,"Harris struggled to crack the lineup early in his rookie season with Ladd McConkey, Keenan Allen, and Quentin Johnston in front of him. Harris' usage at least increased late in the year, while Allen's departure sets the stage for most consistent usage. Allen leaves behind 122 targets.",9.90
170,LAC,Tuli Tuipulotu,DL,N/A,12,23.5,84,200,335,599,"",9.8
171,TB,Sirvocea Dennis,LB,N/A,9,26,101,222,351,599,"",9.7
172,NYG,Abdul Carter,DL,N/A,14,22.4,67,191,327,647,"",9.5
173,BUF,Dalton Kincaid,TE,9.04,7,26.4,130.40,350.00,553.00,961.00,"Kincaid endured another injury-marred season in 2025, missing time with oblique and hamstring injuries. He still flashed upside with two 100-yard games, but never saw more than six targets in any outing despite Buffalo’s shaky WR depth. When healthy, Kincaid can produce as a fantasy starter. But the injury history leaves us skeptical that he'll ever deliver on his high-end TE1 potential.",9.40
174,TB,Chase McLaughlin,K,148.12,9,29.9,138,348,564,1047,"",9.3
175,PIT,Patrick Queen,LB,N/A,5,26.6,94,224,352,579,"",9.3
176,DEN,Nik Bonitto,DL,N/A,12,26.5,86,216,336,480,"",9.3
177,UNS,Brandon Aiyuk,WR,13.11,18,28,148.10,388.00,622.00,1073.00,"Aiyuk didn't play in 2025 after an ACL, MCL, and meniscus injury in 2024. The 49ers and Aiyuk may sever ties heading into 2026, and he should be fully healthy on a new squad. Aiyuk already disappointed in 2024 before the injury and is heading into his age-28 season. It appears unlikely he turns into a top-12 fantasy WR again.",9.30
178,RK,Chris Bell,WR,16.07,18,22.1,118.30,371.00,628.00,1207.00,"Bell has been at Louisville his entire career and has shown improvement every season over his four years. He is a hefty 220 pounds and can box out defenders to make contested catches. He went 72-917-6 last season, including a dominant 9-136-2 game against Miami. Bell profiles as a No. 2 WR in the NFL who can flash for some big games.",9.20
179,DAL,Jake Ferguson,TE,9.11,10,27.2,129.00,364.00,547.00,899.00,"The Cowboys offensive resurgence translated to production from Ferguson. He went 81-595-8 on 100 targets during the fantasy season. He didn't display any amazing athletic skills, but Ferguson's soft hands and good route running made him a reliable option for Dak Prescott. Ferguson signed a four-year extension and is locked in with the Cowboys long term.",9.10
180,NYG,Tremaine Edmunds,LB,N/A,14,27.9,117,218,337,538,"",9
181,PIT,Jaylen Warren,RB,10.08,5,27.4,185.50,315.00,457.00,636.00,"Najee Harris departed in free agency last spring. But Warren was far from a workhorse after free agent addition Kenneth Gainwell took on a larger-than-expected role. Warren still proved useful with a PPR RB18 finish in 16 games. Gainwell left in free agency, but the Steelers confirmed that they don't want Warren in a workhorse role by signing Rico Dowdle.",8.90
182,RK,Zachariah Branch,WR,14.08,18,22,110.20,371.00,628.00,1208.00,"Branch is an intriguing prospect. The former five-star recruit is a jack-of-all-trades at 5'10, 180 pounds. He flashed at USC but transferred to Georgia to have his best season yet. Branch went 81-811-6 for the Dawgs. He also is one of the best returners in the country. Elite speed and explosiveness could make Branch a great weapon, though his size may limit how much he is utilized as a top offensive threat. ",8.80
183,NE,Rhamondre Stevenson,RB,12.01,14,28.1,168.00,308.00,479.00,650.00,"Stevenson was held back by a poor O-line and fumbles in 2024. Then in 2025, his workload predictably dipped following the arrival of TreVeyon Henderson. However, the veteran still posted the second-best PPR points per game tally of his career (12.9). Stevenson is under contract for three more seasons.",8.50
184,SEA,Rashid Shaheed,WR,15.02,8,27.6,122.60,388.00,620.00,1103.00,"Shaheed wasn't a fantasy option after arriving via a mid-season trade. Including the postseason, he topped two catches in only two of 12 games. Seattle showed their faith in him with a new contract: 3 years, $51 million, and nearly $35 million guaranteed. He projects as a volatile WR4 alongside a target hog in Jaxon Smith-Njigba.",8.50
185,CLE,Shedeur Sanders,QB,14.06,9,24.1,178.30,610.00,1031.00,1992.00,"Sanders generally underwhelmed across seven late-season starts. The rookie notched a 56.6% completion rate, 6.6 yards per attempt, and a 19.0 QBR. He recorded only one QB1 fantasy finish. Of course, Sanders wasn't surrounded by top talent. Now, we'll see how he's judged by a new coaching staff.",8.40
186,HOU,David Montgomery,RB,9.12,6,28.8,165.40,299.00,449.00,754.00,"Montgomery's rushing yardage (716), TD output (8), and catch total (24) regressed in 2025. This, despite appearing in 17 games for the first time in his career. Ultimately, Montgomery's best fantasy days are behind him. He's signed through 2027.",8.40
187,CLE,Myles Garrett,DL,N/A,9,30.3,111,214,278,402,"",8.4
188,RK,Chris Brazzell II,WR,16.03,18,21.6,102.90,365.00,618.00,1228.00,"Brazzell struggled in 2024, but the 6'5 WR emerged as the top threat on Tennessee in 2025. He went 62-1017-9, often working downfield. His rare blend of height and speed gives Brazzell plenty of upside, but he lacks the nuanced route running and can short-arm catches. Brazzell has a high ceiling and a low floor.",8.40
189,RK,Mike Washington Jr.,RB,11.11,18,22.7,100.80,304.00,483.00,858.00,"Washington finally broke out in his final season after transferring from Buffalo to Arkansas. He is a big, between-the-tackles back who churns his legs to pick up extra yards on every run. He showcased good vision and cutback ability, but didn't display much big-play upside. There's a chance he gets into Round 3 of the NFL Draft.",8.30
190,ARI,Tyler Allgeier,RB,11.01,8,25.9,134.30,305.00,477.00,764.00,"Allgeier has proven effective as an early-down thumper, but Bijan Robinson capped the fantasy ceiling in Atlanta. He’s now out of Bijan’s shadow in Arizona, though the offensive environment looks worse. Allgeier is under contract through the 2027 season.",8.20
191,UNS,Stefon Diggs,WR,17.08,18,32.3,153.30,406.00,597.00,953.00,"Diggs had a resurgence with the Patriots and Drake Maye in 2025, dropping 85-1013-4 in his age-32 season. But he was released by the team over the winter, as his cap figure and pending legal case sparked the move. He may not sign until the summer. ",8.20
192,LAR,Blake Corum,RB,11.05,8,25.3,122.70,316.00,481.00,739.00,"Corum's rookie year came and went without much fanfare, as Kyren Williams remained a workhorse. Corum also suffered a broken forearm in January of 2025. The good news is that he earned a rotational role last fall, leading to a 145-746-6 rushing line. We expect a similar role in '26.",8.10
193,SEA,Zach Charbonnet,RB,10.06,8,25.2,135.50,337.00,480.00,613.00,"Seattle made Charbonnet a surprising Round 2 pick, and his usage was predictably limited alongside Kenneth Walker in 2023. A 2024 breakout never truly came, although he showed workhorse potential in games missed by Walker. OC Klink Kubiak favored Charbonnet at the goal line in 2025, leading to a huge 12 rushing scores. A roadblock hit in the playoffs, as he suffered an ACL tear on January 18. His short-term value not only depends on his rehab trajectory but also on the moves Seattle makes in the backfield. So far, they've only added former Packer Emanuel Wilson.",7.90
194,KC,Harrison Butker,K,278.03,10,30.7,141,337,542,999,"",7.9
195,IND,Josh Downs,WR,12.06,11,24.6,137.20,360.00,614.00,1118.00,"Downs flashed again in 2025, but being stuck in the slot role continued to limit his ceiling. Downs ended the season going 58-566-4 with his best games coming with Daniel Jones at QB. With Jones back in Indy and Michael Pittman in Pittsburgh, Downs should have a chance to play in more 2-WR sets. This fall turns up a contract season.",7.90
196,PHI,Jake Elliott,K,279.08,9,31.2,139,340,543,993,"",7.8
197,LVR,Maxx Crosby,DL,N/A,8,28.6,95,211,285,397,"",7.8
198,ATL,Tua Tagovailoa,QB,12.12,5,28.1,192.80,651.00,1025.00,1724.00,"Tua was benched late in the 2025 season, extending a downward trend that began in 2024. Landing with the Falcons allows him a shot at making 2026 starts, especially with Michael Penix Jr. rehabbing an ACL tear. Still, we're unenthusiastic about Tua's dynasty outlook.",7.70
199,RK,Jonah Coleman,RB,12.02,18,22.6,130.10,310.00,488.00,687.00,"Coleman scored 17 total TDs this season as the focal point of the Washington offense. He is on the shorter end, but at 220 pounds, Coleman is a punishing rusher with a low pad level. He is also a strong receiver for his size. Coleman didn't test at the Combine, but nobody will mistake him for a burner. Round 3 draft capital would be a nice outcome here.",7.60
200,CAR,Chuba Hubbard,RB,10.11,14,26.8,155.00,315.00,457.00,636.00,"Hubbard set career highs with 250 carries, 1,195 yards, and 10 TDs in 2024. Carolina rewarded him with a contract extension that November, but 2025 wasn't as fantasy-friendly. New Panther Rico Dowdle became a major backfield piece, limiting Hubbard to an RB38 PPR finish. Just note: Dowdle left for Pittsburgh in free agency. We'll see if Carolina adds another RB to join Hubbard and former Round 2 pick Jonathon Brooks. ",7.50
201,IND,Laiatu Latu,DL,N/A,11,25.3,70,179,301,535,"",7.5
202,HOU,Kamari Lassiter,DB,N/A,6,23.2,85,209,342,619,"",7.4
203,CAR,Nic Scourton,DL,N/A,14,21.6,67,170,292,587,"",7.4
204,CAR,Jalen Coker,WR,12.05,14,24.4,118.80,361.00,616.00,1121.00,"A quad injury put Coker on IR to start the 2025 season, but he succeeded when he returned. In 11 games, he went 33-394-3. Coker proved he is an ideal slot WR and played over Xavier Legette upon returning. He also made Adam Thielen expendable. Coker could retain his role going forward and be a fantasy spot-starter.",7.40
205,RK,Germie Bernard,WR,19.09,18,22.3,100.10,364.00,610.00,1190.00,"Bernard followed HC Kalen DeBoer from Washington to Alabama. He had his best season in 2025 at 64-862-7. Bernard has good size and hands as a savvy route runner who works in the slot and outside. He may not have No. 1 WR upside, but Bernard can be a fantasy WR3 in time.",7.40
206,SF,George Kittle,TE,10.05,14,32.4,140.40,364.00,530.00,736.00,"Kittle tallied 57 catches, 628 yards, and 7 TDs across 11 games in 2025. His season ended with a torn right Achilles in the Wild Card Round. It's the type of severe injury that leaves his short-term effectiveness in question. Still, there's at least a chance he returns for Week 1. We'll monitor Kittle's rehab closely. ",7.30
207,RK,Emmett Johnson,RB,14.01,18,22.4,106.10,304.00,495.00,751.00,"Johnson was a 2026 surprise. He ran for 1,451 yards and 12 TDs, averaging 5.78 yards per carry. He has also caught 85 passes over the last two years. Johnson can be a PPR difference maker with his pass-catching and shiftiness in the open field. He weighed in at just 202 pounds at the NFL Combine, but Johnson can be a lead back in the right offense.",7.30
208,DEN,Pat Bryant,WR,15.03,12,23.3,88.90,363.00,621.00,1199.00,"Bryant's snap share picked up as his rookie season wore on. Still, he topped 50 yards only once for an offense that lacked a consistent presence behind Courtland Sutton. Bryant's breakout path is blocked by the addition of Jaylen Waddle, who's signed through the 2028 season.",7.30
209,CHI,Kyle Monangai,RB,9.08,5,24,138.90,289.00,446.00,784.00,"Monangai posted two straight 1,200+ rushing yard seasons for a Rutgers offense that worked through him. His college tape showed a tough runner with a low pad level who works well through contact. Has also flashed on some outside runs. Those traits appeared with the Bears, as he quickly entered a timeshare with D'Andre Swift. Monangai looks poised to retain a rotational role for a young, high-upside offense in 2026.",7.20
210,MIN,Jordan Mason,RB,14.12,6,26.8,145.40,309.00,458.00,673.00,"Mason recorded 4.8 YPC on 159 attempts as a first-year Viking. He was a non-factor in the passing game (14 catches, 51 yards). His short-term upside remains limited with Aaron Jones returning for another season.",7.00
211,RK,Eli Stowers,TE,11.10,18,22.9,90.80,315.00,538.00,999.00,"Stowers is a former QB converted to TE. He will be more slot WR than TE, sitting at 6'4, 235 pounds. He led Vanderbilt with 62 catches last year and was a reliable option for QB Diego Pavia. Stowers has elite explosiveness and short-area quickness, and that was reflected in his excellent Combine performance. He should sneak into Day 2 and become an impact fantasy player with enough playing time.",6.80
212,ARI,Trey Benson,RB,13.12,8,23.7,104.70,307.00,478.00,740.00,"Benson’s college career started ominously with a multi-ligament knee tear at Oregon (2020). Transferring to Florida State in 2022, the 6’0, 216-pounder showcased an ideal blend of power and speed. That carried over to the Combine, where he posted an elite 9.78 Relative Athletic Score. He entered the league with plenty of tread on his tires after tallying 156 and 154 carries over his final two college seasons, but a healthy James Conner limited the rookie’s impact. Then in 2025, Benson missed all but 4 games with a knee injury. He'll break in a new coaching staff in 2026 and needs to earn a backfield role.",6.80
213,SF,Fred Warner,LB,N/A,14,29.3,127,204,311,471,"",6.8
214,LAR,Jared Verse,DL,N/A,8,25.3,70,179,301,492,"",6.7
215,NYJ,Adonai Mitchell,WR,17.03,9,23.4,111.90,353.00,611.00,1153.00,"Mitchell was traded from the Colts to the Jets and immediately made an impact on the weak WR unit. He finished the season with 33-453-2 and may have played his way into a role with the Jets in 2026. He's worth rostering as a dynasty stash. The former Longhorn turns just 24 in October.",6.60
216,RK,Elijah Sarratt,WR,13.08,18,22.8,110.00,356.00,603.00,1153.00,"Sarratt flashed in 2024 going 53-957-8. He missed a few games due to a hamstring injury, but he did score 13 TDs in 2025 with Fernando Mendoza at QB. Sarratt has high-end size at 6'2, 213 pounds. His high pointing is among the best in the class. Sarratt should be a consistent NFL WR though he may never be the top weapon for a team.",6.60
217,DEN,J.K. Dobbins,RB,12.11,12,27.3,161.00,294.00,418.00,699.00,"2024 marked Dobbins’ return from an Achilles tear. He slowed down after a hot start, ultimately missing four games with an MCL sprain. In Denver, the 26-year-old landed in a fine spot for 2025 opportunity. But he suffered a notable injury again, this time a Lisfranc injury that required surgery. He signed a new deal with the Broncos in March, but durability concerns remain.",6.50
218,RK,Antonio Williams,WR,18.09,18,21.7,81.90,362.00,606.00,1199.00,"Williams looked like a top WR after he led Clemson in receiving as a true freshman in 2022. But lower body injuries in 2023 derailed him before a 74-904-11 season in 2024. Clemson's weak pass offense hurt Williams in 2025, but he is a versatile WR with good route running and hands. Round 2 draft capital is in play here.",6.50
219,TEN,Tony Pollard,RB,14.11,10,28.9,148.20,314.00,459.00,586.00,"Pollard earned the franchise tag in March of '23, then watched Dallas release veteran Zeke Elliott. Still, coming off a January fibula fracture, Pollard took a major step back. Pollard rebounded in 2024, outplaying Tyjae Spears and playing through injuries to post his third straight 1,000-yard season. Pollard closed the '25 season strong but struggled with consistency on a bottom-five offense. 2026 turns up a contract year.",6.30
220,TB,Jacob Parrish,DB,N/A,9,22.1,72,205,341,643,"",6.3
221,UNS,Jauan Jennings,WR,14.02,18,28.7,129.40,380.00,595.00,1005.00,"Jennings seized the opportunity with Brandon Aiyuk out all of last season and Ricky Pearsall dealing with injuries. The veteran finished as the WR34 in PPR points per game. We'll see where he ends up in free agency.",6.20
222,BAL,Nate Wiggins,DB,N/A,7,22.6,75,206,337,605,"",6.2
223,RK,Malachi Fields,WR,17.01,18,23.8,118.00,352.00,600.00,1093.00,"Fields excelled at Virginia with back-to-back 800-yard receiving seasons. He transferred to Notre Dame in 2025, and while he continued to showcase his size and contested ability, the production ultimately dropped. He's also on the older side, hitting 24 before the start of the '26 season. ",6.10
224,DEN,Troy Franklin,WR,15.04,12,23.1,82.50,361.00,611.00,1169.00,"Franklin enjoyed a mini breakout in 2025. He tallied 65-709-6 for a high-volume passing game led by Bo Nix. Unfortunately, that momentum was halted after the March trade for Jaylen Waddle. Now, Franklin will battle Pat Bryant for the No. 3 WR role.",6.10
225,TEN,Jeffery Simmons,DL,N/A,10,28.7,83,191,282,393,"",6.1
226,BUF,Gregory Rousseau,DL,N/A,7,25.9,75,178,294,448,"",6.1
227,NO,Juwan Johnson,TE,12.09,11,29.5,127.50,325.00,506.00,815.00,"Johnson had a career year in 2025, posting 74-828-3 on 97 targets during the fantasy season. With Shough showing promise as the starter, Johnson should retain streaming value in the short term. We're not concerned with the arrival of Noah Fant via free agency.",5.90
228,NYG,Isaiah Likely,TE,11.06,14,25.9,118.70,320.00,503.00,874.00,"A preseason foot fracture limited Likely early and cost him the first four games of the 2025 season. He continued to showcase athletic traits when healthy, but the production was very inconsistent (25-275-1). Likely joined HC John Harbaugh and the Giants in free agency, placing him in a lead TE role ahead of Theo Johnson. There's certainly TE1 potential here, especially if Jaxson Dart shows improvement.",5.90
229,ATL,Xavier Watts,DB,N/A,5,24.3,88,200,330,590,"",5.9
230,CHI,T.J. Edwards,LB,N/A,5,29.6,127,201,300,445,"",5.8
231,JAC,Foyesade Oluokun,LB,N/A,8,30.7,125,206,301,429,"",5.7
232,PHI,Jalyx Hunt,DL,N/A,9,25,56,175,295,483,"",5.7
233,HOU,Woody Marks,RB,12.10,6,25.3,113.90,290.00,444.00,748.00,"Marks profiled as the ideal receiving back with over 1,400 career receiving yards in college. He is an average athlete, but ran a ton of routes at both Mississippi State and USC. However, as a rookie, Marks caught only 24 passes in 16 games. His rushing volume spiked to 196 attempts, as Nick Chubb remained underwhelming and Joe Mixon never suited up due to a foot injury. Houston added a veteran upgrade in David Montgomery over the winter, capping Marks' short-term ceiling.",5.60
234,HOU,Jaylin Noel,WR,17.11,6,23.5,96.90,353.00,597.00,1143.00,"Noel flashed as a rookie when allowed to play in the slot. He went 26-292-2 in a part-time role. The Texans will likely move forward with Noel as the slot WR in 2026, but questions about C.J. Stroud -- plus the presence of Nico Collins and Jayden Higgins -- cloud the upside.",5.50
235,RK,Ja'Kobi Lane,WR,18.01,18,21.6,96.70,352.00,589.00,1167.00,"Lane took a back seat to teammate Makai Lemon, but don't overlook the production here. He went 49-745-4 in 2025, following up a 12 TD season in 2024. The 6'4, 195-pound WR explodes off the line and uses his length to beat the press. Lane has good downfield speed to catch the deep ball, too. He could be a sleeper if he falls to Day 3. ",5.50
236,SEA,Byron Murphy II,DL,N/A,8,23.5,60,169,280,495,"",5.5
237,DAL,Shavon Revel Jr.,DB,N/A,10,24.9,98,205,318,548,"",5.4
238,PHI,Jalen Carter,DL,N/A,9,24.9,67,172,276,462,"",5.4
239,JAC,Brenton Strange,TE,10.01,8,25.3,128.50,306.00,487.00,845.00,"Strange replaced Evan Engram with success in HC Liam Coen's offense. A quad injury did sideline him for 6 games, but he finished the year with three top-7 TE performances in his last five games. Strange should be locked in as the TE starter going forward for Coen and the Jaguars, making him a solid young TE to roster at only 25 years old.",5.30
240,NE,Robert Spillane,LB,N/A,14,30.3,117,202,302,447,"",5.3
241,UNS,Bobby Okereke,LB,N/A,18,29.7,114,199,298,441,"",5.3
242,TB,Kenneth Gainwell,RB,13.03,9,27,132.60,285.00,452.00,657.00,"Gainwell was lightly used behind Saquon Barkley in 2024. The former Eagle then joined a Pittsburgh squad that watched Najee Harris sign with the Chargers. Surprisingly, Gainwell went on to pace the Steelers with a stunning 73 catches. Now, he'll push Bucky Irving for snaps and touches after signing a two-year deal in March.",5.20
243,SEA,Devon Witherspoon,DB,N/A,8,25.3,103,198,314,541,"",5.2
244,NO,Kool-Aid McKinstry,DB,N/A,11,23.5,85,203,323,571,"",5.2
245,KC,George Karlaftis,DL,N/A,10,24.9,64,167,281,460,"",5.2
246,NYJ,Malachi Moore,DB,N/A,9,24.5,93,198,319,550,"",5.1
247,BAL,Tyler Loop,K,408.07,7,24.6,150,296,508,1036,"",5
248,CIN,Evan McPherson,K,89.05,10,26.7,141,304,515,1002,"",5
249,CAR,Trevon Moehrig,DB,N/A,14,26.8,101,203,317,507,"",5
250,BAL,Mark Andrews,TE,13.09,7,30.5,118.00,308.00,487.00,839.00,"Andrews signed a three-year extension with the Ravens during the 2025 season, locking him into the team for the foreseeable future. With Isaiah Likely out of town, Andrews should be able to gain TE1 value in the short term. Note that 2026 will be his age-31 season.",4.90
251,WAS,Jacory Croskey-Merritt,RB,13.04,12,24.9,116.50,285.00,436.00,735.00,"A dispute over eligibility limited Croskey-Merritt to only one game in 2024. But he flashed NFL potential in 2023 at New Mexico with 189-1,190-17. Sure enough, he showed it as a rookie. With Brian Robinson and Austin Ekeler out, JCM tallied 805 yards and 8 TDs on 175 attempts. Despite some bright moments, we expect Washington to add a backfield piece this offseason.",4.90
252,RK,Ted Hurst,WR,23.02,18,21.8,67.30,355.00,605.00,1179.00,"Hurst has two straight seasons of 960+ receiving yards and 6+ TDs after transferring to Georgia State from Valdosta State. He is a tall, rangy WR whose good hands made him a reliable target throughout the past two seasons. He is likely a mid-round pick.",4.90
